gapX,activeAngleDeg,trials,cpRate
0.026,26,36710,0.9311
0.026,32,38378,0.9396
0.026,38,39355,0.8900
0.031,26,39050,0.9387
0.031,32,39248,0.9471
0.031,38,39225,0.9157
0.038,26,52303,0.9099
0.038,32,52203,0.9141
0.038,38,51984,0.8730
