family,x,y,count
P2,-0.03,0.69,2090
P2,0.16,0.60,4848
P2,0.16,0.59,11259
P2,0.13,0.46,11338
P2,-0.17,1.33,511
P2,-0.18,1.33,429
P2,-0.19,1.33,566
P2,0.10,0.40,7757
P2,0.11,0.43,2965
P2,-0.06,1.10,353
P2,-0.07,1.10,230
P2,-0.07,1.09,356
P2,0.22,0.65,8057
P2,-0.10,0.35,3266
P2,-0.10,0.36,3842
P2,-0.09,0.35,4661
P2,0.17,0.66,40959
P2,-0.20,0.85,1293
P2,-0.20,0.86,1300
P2,-0.19,0.86,1472
P2,-0.19,0.85,1305
P2,-0.18,0.85,1153
P2,0.01,0.84,1460
P2,0.01,0.85,1299
P2,0.00,0.85,1151
P2,0.00,0.84,1854
P2,0.03,0.27,8708
P2,0.02,0.27,9768
P2,0.02,0.26,9654
P2,-0.12,0.36,2841
P2,-0.13,0.36,2136
P2,-0.13,0.37,2066
P2,-0.14,0.37,1442
P2,-0.14,0.36,1518
P2,0.10,0.37,105256
P2,0.10,0.38,14432
P2,0.10,0.39,9725
P2,0.09,0.93,2240
P2,0.08,0.93,2089
P2,0.07,0.93,1849
P2,0.03,0.75,1750
P2,0.04,0.75,30184
P2,0.04,0.76,1927
P2,0.04,0.72,763
P2,0.05,0.72,871
P2,0.05,0.71,1673
P2,0.06,0.72,955
P2,0.06,0.71,91837
P2,0.07,0.71,86850
P2,0.08,0.71,11042
P2,0.09,0.71,2756
P2,0.10,0.71,1278
P2,0.11,0.71,977
P2,0.07,0.29,5614
P2,0.07,0.30,5057
P2,0.08,0.30,4364
P2,0.08,0.29,4530
P2,0.16,0.54,5670
P2,0.09,0.72,28861
P2,0.10,0.72,13358
P2,0.17,0.58,5022
P2,-0.02,0.22,11926
P2,-0.02,0.23,13779
P2,-0.01,0.23,12938
P2,-0.01,0.22,11891
P2,0.14,0.89,2041
P2,0.14,0.90,8173
P2,0.15,0.90,7122
P2,0.15,0.89,1741
P2,0.14,0.80,790
P2,0.14,0.81,920
P2,0.13,0.80,1026
P2,0.13,0.78,14352
P2,0.12,0.78,19736
P2,0.11,0.78,15762
P2,0.10,0.78,3510
P2,0.10,0.77,31944
P2,0.02,0.72,29504
P2,0.02,0.73,58091
P2,0.01,0.73,2680
P2,0.00,0.72,1979
P2,0.13,0.41,16625
P2,0.00,0.30,7038
P2,-0.01,0.30,6910
P2,-0.02,0.30,6960
P2,0.17,0.44,248432
P2,-0.24,0.60,2640
P2,-0.23,0.60,2822
P2,-0.23,0.59,4000
P2,-0.18,0.78,1272
P2,-0.17,0.78,928
P2,-0.16,0.78,755
P2,0.15,0.66,84538
P2,-0.22,0.51,2397
P2,-0.04,0.32,7059
P2,-0.03,0.32,6671
P2,-0.11,0.26,4507
P2,-0.11,0.27,3906
P2,0.01,0.30,7365
P2,0.02,0.30,7149
P2,-0.15,0.93,581
P2,-0.16,0.93,596
P2,-0.16,0.94,807
P2,-0.17,0.93,1057
P2,0.09,0.68,165549
P2,-0.21,0.57,1540
P2,-0.20,0.57,982
P2,-0.19,0.57,641
P2,-0.24,0.45,3880
P2,-0.05,0.23,12208
P2,-0.04,0.23,11893
P2,-0.03,0.23,13241
P2,-0.24,0.43,2971
P2,-0.23,0.43,2915
P2,0.15,0.49,6250
P2,0.04,0.37,4546
P2,0.04,0.38,4812
P2,0.03,0.38,5277
P2,0.03,0.37,5127
P2,0.02,0.37,5657
P2,0.00,0.34,7091
P2,0.01,0.34,7036
P2,0.02,0.34,7283
P2,0.14,0.66,121394
P2,0.15,0.61,7794
P2,0.21,0.25,108
P2,-0.06,0.24,11501
P2,-0.06,0.25,11395
P2,-0.05,0.25,12330
P2,-0.05,0.24,11812
P2,0.00,0.28,8429
P2,0.13,0.47,4221
P2,-0.07,1.17,133
P2,-0.08,1.17,188
P2,-0.08,1.18,335
P2,0.04,1.02,559
P2,0.03,1.02,537
P2,0.02,1.02,589
P2,-0.09,0.42,3528
P2,-0.09,0.43,3080
P2,-0.10,0.43,3374
P2,-0.10,0.42,2692
P2,-0.04,0.82,1412
P2,-0.05,0.82,1499
P2,-0.05,0.83,5044
P2,-0.06,0.82,4461
P2,0.04,0.64,21456
P2,0.05,0.64,134850
P2,0.06,0.64,23692
P2,-0.11,0.46,2416
P2,-0.11,0.47,2671
P2,-0.12,0.47,2283
P2,-0.12,0.46,2124
P2,-0.13,0.46,1862
P2,-0.24,0.46,3629
P2,-0.23,0.46,2982
P2,-0.22,0.46,1660
P2,-0.05,0.44,4201
P2,-0.06,0.44,3853
P2,-0.07,0.44,3601
P2,0.12,0.66,1979
P2,0.12,0.65,171107
P2,-0.06,0.67,2709
P2,-0.06,0.68,2390
P2,-0.07,0.21,13282
P2,-0.06,0.21,13150
P2,0.04,0.32,5957
P2,0.16,0.61,2360
P2,-0.03,0.33,7808
P2,-0.02,0.32,6957
P2,0.01,0.21,13773
P2,0.01,0.22,12009
P2,0.02,0.22,12604
P2,0.02,0.21,14508
P2,-0.09,0.84,838
P2,-0.09,0.85,964
P2,-0.10,0.85,718
P2,-0.10,0.84,1057
P2,0.05,0.53,2566
P2,0.06,0.53,2503
P2,0.09,0.38,19981
P2,0.04,1.10,662
P2,0.05,1.10,595
P2,0.06,1.10,561
P2,0.09,0.83,2040
P2,0.09,0.84,1624
P2,0.08,0.84,1268
P2,0.08,0.83,1473
P2,0.07,0.83,1487
P2,0.02,0.74,1722
P2,0.01,0.74,1396
P2,-0.01,0.48,4625
P2,-0.02,0.48,4017
P2,-0.02,0.49,3820
P2,0.20,0.66,16362
P2,-0.08,0.37,3835
P2,-0.08,0.38,3721
P2,-0.07,0.38,3946
P2,-0.07,0.37,3824
P2,-0.08,0.26,6536
P2,-0.07,0.26,8276
P2,-0.06,0.26,8434
P2,-0.08,0.20,7188
P2,0.03,0.20,7287
P2,0.02,0.20,7397
P2,0.06,0.32,7391
P2,0.06,0.33,5187
P2,0.05,0.33,5516
P2,0.05,0.32,6080
P2,0.09,0.40,2700
P2,0.10,0.41,2948
P2,0.07,0.34,91279
P2,0.17,0.50,17397
P2,0.17,0.51,24749
P2,0.17,0.52,33742
P2,0.17,0.53,51957
P2,0.11,0.64,123840
P2,0.12,0.64,32869
P2,0.13,0.64,12112
P2,0.13,0.63,3595
P2,0.02,0.24,11994
P2,0.01,0.24,11102
P2,0.00,0.24,12932
P2,-0.24,0.56,3121
P2,-0.23,0.56,3201
P2,-0.22,0.56,2570
P2,0.00,0.31,7180
P2,0.01,0.31,7812
P2,0.02,0.31,6990
P2,0.08,0.21,14179
P2,0.08,0.22,8810
P2,0.09,0.22,7012
P2,0.09,0.21,9568
P2,0.10,0.21,6463
P2,0.21,0.66,8817
P2,0.00,0.42,5744
P2,0.00,0.43,5039
P2,0.01,0.43,4869
P2,0.01,0.42,5048
P2,-0.04,0.28,8012
P2,-0.05,0.28,7337
P2,-0.06,0.28,7070
P2,-0.24,0.61,2171
P2,-0.23,0.61,2673
P2,0.13,0.98,1287
P2,0.13,0.99,1406
P2,0.11,0.81,1225
P2,0.11,0.82,10218
P2,0.10,0.82,8023
P2,0.10,0.81,2986
P2,0.05,0.73,3473
P2,0.05,0.74,13221
P2,0.04,0.74,74371
P2,0.04,0.73,5210
P2,0.03,0.72,5289
P2,0.03,0.71,1456
P2,0.04,0.71,691
P2,-0.22,0.84,1773
P2,-0.22,0.85,1675
P2,-0.21,0.84,1887
P2,0.13,0.65,109097
P2,-0.04,0.38,5807
P2,-0.04,0.39,6158
P2,-0.05,0.39,4947
P2,-0.05,0.38,4576
P2,0.01,0.29,7483
P2,0.00,0.29,6932
P2,0.02,0.86,1732
P2,0.03,0.86,1354
P2,0.03,0.87,3115
P2,0.04,0.87,1425
P2,0.04,0.86,1650
P2,0.19,0.87,3428
P2,0.19,0.88,2035
P2,0.20,0.88,1727
P2,0.21,0.88,1224
P2,0.21,0.87,1962
P2,0.16,0.51,14249
P2,-0.12,0.24,3769
P2,-0.13,0.24,1960
P2,-0.14,0.24,487
P2,0.36,0.73,96
P2,0.37,0.73,98
P2,0.16,0.50,12489
P2,-0.24,0.66,2461
P2,-0.23,0.66,2985
