family,x,y,count
P1,0.27,0.47,259385
P1,0.27,0.48,206003
P1,0.27,0.32,71113
P1,0.27,0.33,806996
P1,0.27,0.30,768152
P1,0.27,0.31,249451
P1,0.27,0.43,1142087
P1,0.27,0.44,253510
P1,0.27,0.49,773014
P1,0.27,0.34,323758
P1,0.27,0.46,1015557
P1,0.27,0.45,220940
P1,0.27,0.42,212727
P1,0.27,0.41,276695
P1,0.27,0.40,1222607
P1,0.28,0.48,205114
P1,0.28,0.49,775689
P1,0.28,0.33,811872
P1,0.28,0.34,326271
P1,0.28,0.30,771899
P1,0.28,0.31,251254
P1,0.28,0.46,980975
P1,0.28,0.47,257945
P1,0.28,0.32,71844
P1,0.28,0.44,256021
P1,0.28,0.45,218700
P1,0.28,0.43,1142850
P1,0.28,0.42,211877
P1,0.28,0.41,230795
P1,0.28,0.40,1085515
P1,0.27,0.35,162524
P1,0.27,0.36,765869
P1,0.28,0.35,166942
P1,0.28,0.36,761091
P1,0.27,0.38,214772
P1,0.27,0.37,496967
P1,0.27,0.39,226352
P1,0.28,0.37,495230
P1,0.28,0.38,219530
P1,0.28,0.39,214796
P1,0.27,0.58,81124
P1,0.27,0.59,83762
P1,0.27,0.52,137555
P1,0.27,0.53,140157
P1,0.27,0.55,85264
P1,0.27,0.56,82176
P1,0.27,0.54,121854
P1,0.27,0.60,84871
P1,0.27,0.61,77603
P1,0.27,0.57,82951
P1,0.27,0.62,22980
P1,0.27,0.51,119556
P1,0.28,0.61,78166
P1,0.28,0.62,22292
P1,0.28,0.60,82733
P1,0.28,0.55,86270
P1,0.28,0.56,84300
P1,0.28,0.53,137406
P1,0.28,0.54,117340
P1,0.28,0.57,82790
P1,0.28,0.58,81156
P1,0.28,0.59,82846
P1,0.28,0.51,117258
P1,0.28,0.52,137589
P1,0.27,0.50,203018
P1,0.28,0.50,204233
P1,0.27,0.68,67428
P1,0.27,0.69,66392
P1,0.27,0.71,65546
P1,0.27,0.72,66055
P1,0.27,0.65,73058
P1,0.27,0.66,72518
P1,0.27,0.70,64721
P1,0.27,0.74,63871
P1,0.27,0.75,67728
P1,0.27,0.76,80646
P1,0.27,0.73,66195
P1,0.27,0.67,70476
P1,0.27,0.64,71142
P1,0.27,0.63,35868
P1,0.28,0.66,68560
P1,0.28,0.67,70784
P1,0.28,0.64,70230
P1,0.28,0.65,67417
P1,0.28,0.73,67303
P1,0.28,0.74,67384
P1,0.28,0.71,68408
P1,0.28,0.72,66092
P1,0.28,0.70,65689
P1,0.28,0.68,68720
P1,0.28,0.69,66635
P1,0.28,0.75,67619
P1,0.28,0.63,34537
P1,0.28,0.76,61285
P1,0.27,0.78,55650
P1,0.27,0.79,139201
P1,0.26,0.79,72962
P1,0.27,0.77,83069
P1,0.26,0.80,28200
P1,0.25,0.80,16371
P1,0.25,0.79,46392
P1,0.24,0.79,6319
P1,0.24,0.78,190
P1,0.28,0.78,24000
P1,0.28,0.77,55976
P1,0.28,0.79,14116
P1,0.29,0.30,2427
P1,0.29,0.31,297
P1,0.29,0.37,192
P1,0.29,0.38,561
P1,0.29,0.39,486
P1,0.29,0.32,171
P1,0.29,0.33,1364
P1,0.29,0.41,796
P1,0.29,0.42,19
P1,0.29,0.40,963
P1,0.29,0.34,61
P1,0.29,0.35,29
P1,0.29,0.36,1043
P1,0.29,0.43,680
P1,0.29,0.44,532
P1,0.29,0.45,26
P1,0.29,0.46,1172
P1,0.29,0.47,521
P1,0.29,0.48,158
P1,0.29,0.49,1265
P1,0.29,0.52,444
P1,0.29,0.51,371
P1,0.29,0.50,320
P1,0.29,0.54,526
P1,0.29,0.55,70
P1,0.29,0.53,33
P1,0.24,0.80,819
P1,0.27,0.80,1425
P1,0.26,0.81,133
P1,0.25,0.81,988
P1,0.24,0.81,313
