family,x,y,count
P2,-0.19,1.33,101
P2,0.10,0.40,1534
P2,0.11,0.43,595
P2,-0.06,1.10,48
P2,-0.07,1.10,39
P2,-0.07,1.09,124
P2,0.22,0.65,2312
P2,-0.10,0.35,745
P2,-0.10,0.36,1091
P2,-0.09,0.35,867
P2,0.17,0.66,8009
P2,-0.20,0.85,324
P2,-0.20,0.86,156
P2,-0.19,0.86,251
P2,-0.19,0.85,268
P2,-0.18,0.85,217
P2,0.01,0.84,251
P2,0.01,0.85,251
P2,0.00,0.85,183
P2,0.00,0.84,348
P2,0.03,0.27,1804
P2,0.02,0.27,2004
P2,0.02,0.26,1954
P2,-0.12,0.36,618
P2,-0.13,0.36,412
P2,-0.13,0.37,505
P2,-0.14,0.37,309
P2,-0.14,0.36,328
P2,0.10,0.37,21040
P2,0.10,0.38,2874
P2,0.10,0.39,2146
P2,0.09,0.93,401
P2,0.08,0.93,369
P2,0.07,0.93,355
P2,0.03,0.75,217
P2,0.04,0.75,5042
P2,0.04,0.76,404
P2,0.04,0.72,137
P2,0.05,0.72,238
P2,0.05,0.71,281
P2,0.06,0.72,152
P2,0.06,0.71,18120
P2,0.07,0.71,18282
P2,0.08,0.71,3156
P2,0.09,0.71,666
P2,0.07,0.29,1095
P2,0.07,0.30,1046
P2,0.08,0.30,722
P2,0.08,0.29,846
P2,0.16,0.54,1113
P2,0.09,0.72,5946
P2,0.10,0.72,3229
P2,0.10,0.71,245
P2,0.11,0.71,171
P2,0.17,0.58,1005
P2,-0.02,0.22,2317
P2,-0.02,0.23,3149
P2,-0.01,0.23,2746
P2,-0.01,0.22,2163
P2,0.14,0.89,437
P2,0.14,0.90,1674
P2,0.15,0.90,1556
P2,0.15,0.89,433
P2,0.14,0.80,276
P2,0.14,0.81,336
P2,0.13,0.80,318
P2,0.13,0.78,2029
P2,0.12,0.78,4621
P2,0.11,0.78,2444
P2,0.10,0.78,764
P2,0.10,0.77,6451
P2,0.02,0.72,4668
P2,0.02,0.73,11149
P2,0.01,0.73,510
P2,0.00,0.72,485
P2,0.13,0.41,4488
P2,0.00,0.30,1531
P2,-0.01,0.30,1357
P2,-0.02,0.30,1328
P2,0.17,0.44,50633
P2,-0.24,0.60,581
P2,-0.23,0.60,724
P2,-0.23,0.59,816
P2,-0.18,0.78,219
P2,-0.17,0.78,256
P2,-0.16,0.78,204
P2,0.15,0.66,17181
P2,-0.22,0.51,459
P2,-0.04,0.32,1478
P2,-0.03,0.32,1407
P2,-0.11,0.26,870
P2,-0.11,0.27,747
P2,0.01,0.30,1903
P2,0.02,0.30,1504
P2,-0.15,0.93,129
P2,-0.16,0.93,141
P2,-0.16,0.94,225
P2,-0.17,0.93,219
P2,0.09,0.68,33817
P2,-0.21,0.57,332
P2,-0.20,0.57,253
P2,-0.19,0.57,95
P2,-0.24,0.45,760
P2,-0.05,0.23,2556
P2,-0.04,0.23,2554
P2,-0.03,0.23,2704
P2,-0.24,0.43,562
P2,-0.23,0.43,501
P2,0.15,0.49,1285
P2,0.04,0.37,614
P2,0.04,0.38,922
P2,0.03,0.38,1023
P2,0.03,0.37,955
P2,0.02,0.37,814
P2,0.00,0.34,1388
P2,0.01,0.34,1424
P2,0.02,0.34,1460
P2,0.14,0.66,22098
P2,0.15,0.61,1521
P2,0.21,0.25,28
P2,-0.06,0.24,2516
P2,-0.06,0.25,2562
P2,-0.05,0.25,2485
P2,-0.05,0.24,2396
P2,0.00,0.28,1976
P2,0.13,0.47,804
P2,-0.07,1.17,47
P2,-0.08,1.17,54
P2,-0.08,1.18,174
P2,0.04,1.02,187
P2,0.03,1.02,139
P2,0.02,1.02,94
P2,-0.09,0.42,499
P2,-0.09,0.43,706
P2,-0.10,0.43,780
P2,-0.10,0.42,437
P2,-0.04,0.82,250
P2,-0.05,0.82,373
P2,-0.05,0.83,847
P2,-0.06,0.82,916
P2,0.04,0.64,4416
P2,0.05,0.64,29954
P2,0.06,0.64,4579
P2,-0.11,0.46,563
P2,-0.11,0.47,485
P2,-0.12,0.47,415
P2,-0.12,0.46,353
P2,-0.13,0.46,331
P2,-0.24,0.46,760
P2,-0.23,0.46,629
P2,-0.22,0.46,374
P2,-0.05,0.44,664
P2,-0.06,0.44,793
P2,-0.07,0.44,800
P2,0.12,0.66,431
P2,0.12,0.65,36298
P2,-0.06,0.67,420
P2,-0.06,0.68,330
P2,-0.07,0.21,2736
P2,-0.06,0.21,2614
P2,0.04,0.32,1493
P2,0.16,0.61,487
P2,-0.03,0.33,1445
P2,-0.02,0.32,1447
P2,0.01,0.21,2602
P2,0.01,0.22,2478
P2,0.02,0.22,2884
P2,0.02,0.21,2601
P2,-0.09,0.84,117
P2,-0.09,0.85,192
P2,-0.10,0.85,111
P2,-0.10,0.84,98
P2,0.05,0.53,493
P2,0.06,0.53,482
P2,0.09,0.38,4227
P2,0.04,1.10,72
P2,0.05,1.10,123
P2,0.06,1.10,86
P2,0.09,0.83,356
P2,0.09,0.84,393
P2,0.08,0.84,350
P2,0.08,0.83,209
P2,0.07,0.83,343
P2,0.02,0.74,448
P2,0.01,0.74,266
P2,-0.01,0.48,855
P2,-0.02,0.48,742
P2,-0.02,0.49,844
P2,0.20,0.66,3506
P2,-0.08,0.37,687
P2,-0.08,0.38,865
P2,-0.07,0.38,1072
P2,-0.07,0.37,772
P2,-0.08,0.26,1198
P2,-0.07,0.26,1631
P2,-0.06,0.26,1704
P2,-0.08,0.20,1563
P2,0.03,0.20,1556
P2,0.02,0.20,1491
P2,0.06,0.32,1817
P2,0.06,0.33,1181
P2,0.05,0.33,930
P2,0.05,0.32,1492
P2,0.09,0.40,518
P2,0.10,0.41,535
P2,0.07,0.34,16208
P2,0.17,0.50,3655
P2,0.17,0.51,5046
P2,0.17,0.52,6855
P2,0.17,0.53,10350
P2,0.11,0.64,26540
P2,0.12,0.64,7908
P2,0.13,0.64,3263
P2,0.13,0.63,696
P2,0.02,0.24,2557
P2,0.01,0.24,2041
P2,0.00,0.24,2358
P2,-0.24,0.56,438
P2,-0.23,0.56,563
P2,-0.22,0.56,500
P2,0.00,0.31,1349
P2,0.01,0.31,1890
P2,0.02,0.31,1221
P2,0.08,0.21,2668
P2,0.08,0.22,2011
P2,0.09,0.22,1479
P2,0.09,0.21,1734
P2,0.10,0.21,1220
P2,0.21,0.66,1469
P2,0.00,0.42,1255
P2,0.00,0.43,1039
P2,0.01,0.43,1140
P2,0.01,0.42,958
P2,-0.04,0.28,1870
P2,-0.05,0.28,1562
P2,-0.06,0.28,1719
P2,-0.24,0.61,457
P2,-0.23,0.61,576
P2,0.13,0.98,348
P2,0.13,0.99,257
P2,0.11,0.81,326
P2,0.11,0.82,1677
P2,0.10,0.82,1527
P2,0.10,0.81,466
P2,0.05,0.73,516
P2,0.05,0.74,2590
P2,0.04,0.74,13706
P2,0.04,0.73,1316
P2,0.03,0.72,1112
P2,0.03,0.71,254
P2,-0.22,0.84,336
P2,-0.22,0.85,350
P2,-0.21,0.84,381
P2,0.13,0.65,23872
P2,-0.04,0.38,1115
P2,-0.04,0.39,1109
P2,-0.05,0.39,946
P2,-0.05,0.38,927
P2,0.01,0.29,1500
P2,0.00,0.29,1491
P2,0.02,0.86,432
P2,0.03,0.86,347
P2,0.03,0.87,478
P2,0.04,0.87,371
P2,0.04,0.86,293
